158. BCDEFGJK: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3E, 1L=3K
159. BCDEFGIL: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3E, 1I=3F, 1K=3L, 1L=3I
160. BCDEFGIK: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3E, 1I=3F, 1K=3I, 1L=3K
161. BCDEFGIJ: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3E, 1L=3I
162. BCDEFGHL: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3E
163. BCDEFGHK: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3E, 1L=3K
164. BCDEFGHJ: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3F, 1K=3D, 1L=3E
165. BCDEFGHI: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3E, 1L=3I
166. AFGHIJKL: 1A=3H, 1B=3J, 1D=3I, 1E=3F, 1G=3A, 1I=3G, 1K=3L, 1L=3K
167. AEGHIJKL: 1A=3E, 1B=3J, 1D=3I, 1E=3A, 1G=3H, 1I=3G, 1K=3L, 1L=3K
168. AEFHIJKL: 1A=3E, 1B=3J, 1D=3I, 1E=3F, 1G=3A, 1I=3H, 1K=3L, 1L=3K
169. AEFGIJKL: 1A=3E, 1B=3J, 1D=3I, 1E=3F, 1G=3A, 1I=3G, 1K=3L, 1L=3K
170. AEFGHJKL: 1A=3E, 1B=3G, 1D=3J, 1E=3F, 1G=3A, 1I=3H, 1K=3L, 1L=3K
171. AEFGHIKL: 1A=3E, 1B=3G, 1D=3I, 1E=3F, 1G=3A, 1I=3H, 1K=3L, 1L=3K
172. AEFGHIJL: 1A=3E, 1B=3G, 1D=3J, 1E=3F, 1G=3A, 1I=3H, 1K=3L, 1L=3I
173. AEFGHIJK: 1A=3E, 1B=3G, 1D=3J, 1E=3F, 1G=3A, 1I=3H, 1K=3I, 1L=3K
174. ADGHIJKL: 1A=3H, 1B=3J, 1D=3I, 1E=3D, 1G=3A, 1I=3G, 1K=3L, 1L=3K
175. ADFHIJKL: 1A=3H, 1B=3J, 1D=3I, 1E=3D, 1G=3A, 1I=3F, 1K=3L, 1L=3K
176. ADFGIJKL: 1A=3I, 1B=3G, 1D=3J, 1E=3D, 1G=3A, 1I=3F, 1K=3L, 1L=3K
